- MUSICALES ---------------------------,--
Radio Nova, http://radionova.ice.infomaniak.ch/radionova-256.aac
Webradio Nova Soul, http://nova-soul.ice.infomaniak.ch/nova-soul-256.aac 
Webradio Nova Classic, http://nova-vnt.ice.infomaniak.ch/nova-vnt-256.aac
Webradio Nova La nuit, http://nova-ln.ice.infomaniak.ch/nova-ln-256.aac
FIP, http://direct.fipradio.fr/live/fip-hifi.aac
FIP Monde, http://icecast.radiofrance.fr/fipworld-hifi.aac
FIP Nouveautés, http://icecast.radiofrance.fr/fipnouveautes-hifi.aac
France Musique, http://icecast.radiofrance.fr/francemusique-hifi.aac
Le Mouv,  http://icecast.radiofrance.fr/mouv-hifi.aac

- HUMOUR ------------------------------,--
100% Grosses Têtes, https://daiconnect.com/live/hls/rtl/webpHJPXnXrN7B6J7Q8mcqmxP-rtl-202/354ba131d93c2dfb71f37d933f424fca/.m3u8
Rires et chansons, https://scdn.nrjaudio.fm/adwz2/fr/30401/mp3_128.mp3?origine=fluxradios

- ASSOCIATIVES ------------------------,--
Ici & Maintenant, http://s64.radiolize.com/radio/8090/radio.mp3
AligreFM, http://stream3.vestaradio.com/aligrefmradio
Radio Campus TLS, http://live.radio-campus.org:8000/toulouse


- GÉNÉRALISTES ------------------------,--
Europe 1, http://europe1.lmn.fm/europe1.mp3
France Inter, http://icecast.radiofrance.fr/franceinter-hifi.aac
RTL, http://icecast.rtl.fr/rtl-1-44-128?listen=webCwsBCggNCQgLDQUGBAcGBg
France Culture, http://icecast.radiofrance.fr/franceculture-hifi.aac
France Info, http://icecast.radiofrance.fr/franceinfo-hifi.aac
Bleu TLS, http://direct.francebleu.fr/live/fbtoulouse-midfi.mp3
RMC, http://audio.bfmtv.com/rmcradio_128.mp3

